32 20
W  0 0
B  1.5 0
W  4.5 0.5
B  9.5 0
W  12 0
W  17.5 0.5
B  22 0.5
W  23.5 0
W  27 0.5
B  29.5 0
W  31 0
B  0 1.5
W  1.5 1.5
B  3 1.5
W  7 1.5
B  8 1.5
W  9.5 1
B  11 1.5
W  13 1
W  15.5 1
W  19 1
B  20.5 1.5
W  24.5 1.5
B  28 1.5
W  29.5 1.5
B  31 1.5
W  5 2.5
W  6 2
W  9 2
W  10 2
B  13.5 2
B  22 2.5
W  26 2.5
W  0 3.5
B  9 3
B  10 3
B  12 3.5
W  13.5 3.5
B  15 3
W  17 3
W  27.5 3.5
B  29 3.5
W  31 3.5
B  1 4.5
W  4 4
W  6.5 4.5
W  9.5 4
B  15 4
W  19 4
B  23 4
B  24 4
W  10 5.5
W  12 5.5
B  13.5 5
W  16 5
W  20.5 5
B  22 5.5
W  23.5 5
B  25 5.5
W  26 5
W  27 5
B  29.5 5.5
B  2 6
B  3 6
B  5 6
W  8.5 6.5
W  14.5 6.5
B  17 6
B  18 6
W  23.5 6
B  5 7
W  11 7
B  16 7.5
W  17.5 7.5
B  19 7.5
W  21.5 7
W  25.5 7.5
B  30 7.5
W  31 7.5
W  1.5 8.5
B  5 8.5
B  6.5 8
W  8.5 8.5
W  11.5 8
W  13.5 8.5
W  20.5 8.5
B  24 8.5
W  27 8.5
W  15.5 9.5
B  17 9
B  18 9
B  22.5 9.5
B  28 9.5
W  29 9
W  30 9
B  31 9.5
B  1.5 10
W  4.5 10.5
W  8 10
B  11.5 10
W  14 10.5
W  17.5 10.5
W  29.5 10
B  0 11
W  1.5 11.5
B  3 11.5
B  10 11.5
W  11 11.5
W  12 11.5
B  13 11.5
W  20.5 11
B  23.5 11
W  25 11
W  27.5 11.5
B  29 11
B  30 11
B  0 12
W  7 12
W  9 12
W  20 12.5
B  25.5 12
W  30.5 12
B  1.5 13
W  5.5 13.5
B  11 13
B  12 13
B  16.5 13.5
B  18 13
B  19 13
W  22.5 13
B  24 13.5
W  25 13
W  26 13
B  27 13.5
W  1.5 14
W  4 14
W  11 14
W  13.5 14
W  25 14
W  26 14
W  29 14
W  7 15
W  10 15
W  12 15.5
W  15 15.5
B  17.5 15
W  20.5 15.5
W  22.5 15
W  24 15
B  25.5 15
W  28 15.5
W  1 16
B  6 16.5
W  10.5 16.5
W  19 16.5
W  26.5 16.5
W  30.5 16
W  1 17
W  3 17.5
B  4 17
W  14 17.5
W  16 17.5
W  17.5 17.5
B  22 17
B  24 17
W  29 17
W  0.5 18
B  5.5 18
W  9.5 18
W  13 18
W  20.5 18.5
B  23 18.5
W  27 18.5
W  31 18
B  5 19
W  8 19
W  14 19
W  17 19
W  29 19
